disease,link
vaginosis,https://www.earthclinic.com/cures/bacterial_vaginosis.html
"vaginosis, cytolytic",https://www.earthclinic.com/cures/natural-remedies-for-cytolytic-vaginosis.html
valley fever,https://www.earthclinic.com/cures/valley-fever.html
varicose veins,https://www.earthclinic.com/cures/varicose-vein-treatment-natural-remedies.html
vasculitis,https://www.earthclinic.com/cures/vasculitis.html
vasovagal syncope,https://www.earthclinic.com/cures/vasovagal-syncope.html
vein obstructions,https://www.earthclinic.com/cures/veins.html
"veins, varicose",https://www.earthclinic.com/cures/varicose-vein-treatment-natural-remedies.html
verrucas,https://www.earthclinic.com/cures/plantar-wart-remedies.html
vertigo,https://www.earthclinic.com/cures/vertigo.html
viral conjunctivitis,https://www.earthclinic.com/cures/viral_conjunctivitis.html
viral gastroenteritis,https://www.earthclinic.com/cures/stomach-flu-remedies.html
"viral hepatitis treatment, oscar's",https://www.earthclinic.com/cures/viral-hepatitis-treatment-by-oscar.html
"virus, chronic",https://www.earthclinic.com/cures/virus.html
"virus, flu",https://www.earthclinic.com/cures/flu.html
"virus, h1n1",https://www.earthclinic.com/cures/h1n1-swine-flu.html
"virus, spinal cord",https://www.earthclinic.com/cures/spinal_cord_virus.html
"virus, stomach",https://www.earthclinic.com/cures/stomach-flu-remedies.html
"vision, blurry",https://www.earthclinic.com/cures/blurry-eyes.html
"vision problems, eye floaters",https://www.earthclinic.com/cures/eye-floaters.html
"vision, weak",https://www.earthclinic.com/cures/eyes-vision.html
vitiligo treatment,https://www.earthclinic.com/cures/vitiligo.html
voice issues,https://www.earthclinic.com/cures/voice-issues.html
vomiting,https://www.earthclinic.com/cures/vomit.html
vulvodynia,https://www.earthclinic.com/cures/vulvodynia.html
warts,https://www.earthclinic.com/cures/warts.html
"warts, plantars",https://www.earthclinic.com/cures/plantar-wart-remedies.html
water intoxication,https://www.earthclinic.com/cures/water_intoxication.html
water retention,https://www.earthclinic.com/cures/fluid_retention.html
weak immune system,https://www.earthclinic.com/cures/weak-immune-system-boosters.html
weak nails,https://www.earthclinic.com/cures/nail-health-nail-growth.html
weight gain,https://www.earthclinic.com/cures/weight-loss-remedies.html
weight gain remedies,https://www.earthclinic.com/cures/weight-gain-supplements-best-foods.html
weight loss: 5:2 diet,https://www.earthclinic.com/cures/does-the-5-2-diet-work.html
west nile virus,https://www.earthclinic.com/cures/west-nile-virus.html
wheezing,https://www.earthclinic.com/cures/wheezing.html
where to buy remedies,https://www.earthclinic.com/cures/where_to_buy.html
"white blood cell count, low",https://www.earthclinic.com/cures/low-white-blood-cell-count.html
white coated tongue,https://www.earthclinic.com/cures/tongue.html
whooping cough,https://www.earthclinic.com/cures/whooping-cough.html
wisdom tooth extraction pain,https://www.earthclinic.com/cures/dental-extraction-pain.html
wolff-parkinson-white syndrome,https://www.earthclinic.com/cures/wolff-parkinson-white-syndrome.html
worms,https://www.earthclinic.com/cures/parasites.html
wounds,https://www.earthclinic.com/cures/cuts.html
xanthelasma polyps,https://www.earthclinic.com/cures/xanthelasma-polyps.html
xanthoma,https://www.earthclinic.com/cures/xanthoma.html
yeast infections,https://www.earthclinic.com/cures/yeast_infection.html
